A,B,C,value,status
MARGARINA QUALY COM SAL 500G,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.00022289280570605583,2
LIMPOL 6X500ML DETERG LIQ NEUTRO,SACOLA PLASTICA MM BRANCA,,0.0002811878471984089,2
LIMPOL 6X500ML DETERG LIQ NEUTRO,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.000371488009510093,2
LIMPOL 6X500ML DETERG LIQ NEUTRO,MM LAVA ROUPAS 5LTS ULTIMATE CLEAN,,0.00020917632535491393,2
AGUA SANITARIA 5LT DRAGAO,SACOLA PLASTICA MM BRANCA,,0.0002800448071691471,2
CR DE LEITE NESTLE LT 300G,SACOLA PLASTICA MM BRANCA,,0.0002777587271106234,2
CR DE LEITE NESTLE LT 300G,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.0003097638479299545,2
SUCO NATURAL ONE UVA/MACA 2L,SACOLA PLASTICA MM BRANCA,,0.0002777587271106234,2
DOWNY BRISA DE VERAO CONCENTR 1.5LT,SACOLA PLASTICA MM BRANCA,,0.0002766156870813616,2
DOWNY BRISA DE VERAO CONCENTR 1.5LT,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.0002537548864961251,2
MON BIJOU PUREZA 5LT AMAC DILUIDO,SACOLA PLASTICA MM BRANCA,,0.00027432960702283794,2
MON BIJOU PUREZA 5LT AMAC DILUIDO,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.0003406259287200238,2
MON BIJOU PUREZA 5LT AMAC DILUIDO,MM LAVA ROUPAS 5LTS ULTIMATE CLEAN,,0.00028347392725693255,2
LEITE COND MOCA SEMI LATA 405G,SACOLA PLASTICA MM BRANCA,,0.00027432960702283794,2
LEITE COND MOCA SEMI LATA 405G,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.00024232448620350685,2
HASTES FLEXIVEIS COTONETE C/300UN,SACOLA PLASTICA MM BRANCA,,0.00027318656699357614,2
HASTES FLEXIVEIS COTONETE C/300UN,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.00030404864778364537,2
BROCOLIS 1KG DAUCY,SACOLA PLASTICA MM BRANCA,,0.0002720435269643143,2
QJ MUSS FATIAS MEMBERS MARK 200G,SACOLA PLASTICA MM BRANCA,,0.0002720435269643143,2
QBOA 5LT AGUA SANITARIA,SACOLA PLASTICA MM BRANCA,,0.0002720435269643143,2
QBOA 5LT AGUA SANITARIA,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.0002766156870813616,2
QBOA 5LT AGUA SANITARIA,MM LAVA ROUPAS 5LTS ULTIMATE CLEAN,,0.00020460416523786662,2
MIL FOLHAS 200GR MEMBERS MARK,SACOLA PLASTICA MM BRANCA,,0.0002720435269643143,2
MACA TURMA DA MONICA PCT,SACOLA PLASTICA MM BRANCA,,0.00026975744690579067,2
QUEIJO MUSSARELA FAT 150G TIROLEZ,SACOLA PLASTICA MM BRANCA,,0.0002686144068765288,2
PRESUNTO FATIADO SADIA 200G,SACOLA PLASTICA MM BRANCA,,0.000267471366847267,2
REQUEIJAO LIGHT MEMBERS MARK 500G,SACOLA PLASTICA MM BRANCA,,0.00026518528678874334,2
LEITE FERMENTADO CHAMYTO 450G,SACOLA PLASTICA MM BRANCA,,0.00026404224675948153,2
LIMPOL LIQ 6X500ML DETERG LIQ COCO,SACOLA PLASTICA MM BRANCA,,0.00026061312667169606,2
LIMPOL LIQ 6X500ML DETERG LIQ COCO,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.0003749171295978785,2
LIMPOL LIQ 6X500ML DETERG LIQ COCO,MM LAVA ROUPAS 5LTS ULTIMATE CLEAN,,0.0002571840065839106,2
SUCO LARANJA 900ML UNIDADE,SACOLA PLASTICA MM BRANCA,,0.00026061312667169606,2
OMO LAVA ROUPAS EM PO 5.6KG,SACOLA PLASTICA MM BRANCA,,0.0002594700866424342,2
OMO LAVA ROUPAS EM PO 5.6KG,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.0003223372882518346,2
OLEO SOJA LIZA PET 900ML,SACOLA PLASTICA MM BRANCA,,0.0002571840065839106,2
OLEO SOJA LIZA PET 900ML,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.0003211942482225728,2
OLEO SOJA LIZA PET 900ML,ACUC REF UNIAO 1KG,,0.0002308940859108886,2
CLUB SOCIAL ORIGINAL ECON 12X24G,SACOLA PLASTICA MM BRANCA,,0.0002571840065839106,2
COMFORT PRO AMACIANTE DILUIDO 5LT,SACOLA PLASTICA MM BRANCA,,0.00025604096655464873,2
COMFORT PRO AMACIANTE DILUIDO 5LT,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.0002800448071691471,2
COMFORT PRO AMACIANTE DILUIDO 5LT,MM LAVA ROUPAS 5LTS ULTIMATE CLEAN,,0.00027090048693505247,2
FJAO CAR KICALDO T1 1KG,SACOLA PLASTICA MM BRANCA,,0.0002537548864961251,2
FJAO CAR KICALDO T1 1KG,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.00028461696728619435,2
OREO BAUNILHA ECON 3X90G,SACOLA PLASTICA MM BRANCA,,0.0002537548864961251,2
MACA LOONEY TUN MACA RASIP 1.5 KG,SACOLA PLASTICA MM BRANCA,,0.0002537548864961251,2
FILE DE TILAPIA 1KG MEMBERS MARK,SACOLA PLASTICA MM BRANCA,,0.00025261184646686326,2
REQUEIJAO LIGHT CATUPIRY 500G,SACOLA PLASTICA MM BRANCA,,0.0002503257664083396,2
